number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
1026,0.2669777110578259,478,0.10998952985709752,0.30710450477271206,0.28110104810432734,no freeze,0.00013480486469955556,3,672,2016.0,1952.0
182,0.26719951245017853,465,0.20948593685506,0.18186866009058195,0.10497017014929245,no freeze,8.214914307844975e-05,3,416,1888.0,1184.0
3,0.2672865260946781,279,0.2456510014528321,0.2405833187033073,0.11681055114756404,freeze,2.290803155116925e-05,3,1248,1248.0,480.0
18126,0.2677421584750745,463,0.26256521468910254,0.20109500556165244,0.10544035443122814,no freeze,0.00020226126625571853,3,416,2080.0,992.0
130,0.2678164034064826,518,0.1916619591506958,0.20392477780624454,0.19434483356624782,no freeze,0.00021426336678684037,3,544,1952.0,1696.0
20621,0.26783174222820855,370,0.12500180076046385,0.1451875802089624,0.12229356842938585,no freeze,0.0002874378410033471,3,608,1888.0,1056.0
3344,0.2679482471733115,410,0.256630466061548,0.12059594951734477,0.10401987449825464,no freeze,0.0002722282984289749,3,416,2016.0,1376.0
9884,0.26816873805794345,351,0.20972413104298182,0.18572350574475566,0.3785199856118194,no freeze,0.00021021146864038718,3,608,2016.0,1312.0
20345,0.26833437944003385,435,0.12736271587873174,0.10296727406649638,0.11068119604467595,no freeze,0.0002298304072634991,3,480,2144.0,1376.0
1669,0.268556823971019,471,0.14703907945119532,0.18309137863042274,0.10260258180395987,no freeze,0.00021401332723008852,3,352,2144.0,864.0
136,0.2686407460939952,516,0.18379882151113275,0.10741471130133722,0.13269343454669366,no freeze,9.46268053634292e-05,3,416,1952.0,1440.0
7831,0.2689778967316388,436,0.10803839218952349,0.1160013784028295,0.18077726658557,no freeze,0.00023926720884333294,3,416,2144.0,928.0
11196,0.26915839888269283,378,0.20646833297908254,0.10324925242793404,0.2308429200264323,no freeze,0.0002766706849599829,3,1056,2016.0,800.0
5594,0.26929028768904617,420,0.24865829834280598,0.1024753859934528,0.14473029574412108,no freeze,0.0001770533239129792,3,416,2144.0,1056.0
2953,0.26934984916113974,477,0.19482139139083962,0.25970008012181434,0.10017464745076501,no freeze,0.00016156751411474488,3,544,1952.0,1632.0
143,0.26975951872543796,486,0.17922567275802354,0.19566191874898184,0.1012877600489358,no freeze,9.464411835593872e-05,3,416,2016.0,1376.0
17,0.27001228759797885,493,0.1922328378099803,0.19463007150488032,0.31440454510007027,no freeze,0.00013284851640350093,3,608,2144.0,1760.0
17646,0.27030931814017833,336,0.380741412729877,0.19857882908769997,0.25168407957859007,no freeze,0.00019842387646141127,3,352,2144.0,1312.0
81,0.2704363728177925,427,0.10202032162497826,0.21118392224256852,0.1439064012799674,no freeze,0.000123943958619236,3,800,2080.0,2080.0
1096,0.27061369180769296,239,0.3178281030145418,0.11561311651203815,0.13620110669493915,no freeze,0.00022030819158007527,3,416,2016.0,928.0
4506,0.2708903560534071,468,0.18383750245644895,0.17936928854219683,0.10002833264432344,no freeze,0.00015408959712434137,3,416,2144.0,1248.0
22110,0.27097484813259987,398,0.3102424820593142,0.1938727136375405,0.17968194348484248,no freeze,0.00023726451524236478,3,480,2144.0,736.0
242,0.27141171249858054,461,0.12170056111979821,0.10333098792984462,0.20250356953351076,no freeze,0.0001728503305224325,3,416,2080.0,864.0
10694,0.2714158394996381,398,0.10785519693883105,0.233217498379809,0.20910326554001638,no freeze,0.0002612806896874162,3,416,2144.0,1056.0
13849,0.27197325805742706,373,0.117726352285551,0.16014588150457798,0.21940564718778596,no freeze,0.00019295474375811606,3,416,2144.0,928.0
4344,0.27217072277876947,216,0.1559850105599139,0.11105897877175806,0.4327301996142344,no freeze,0.000218780528729779,3,608,2016.0,1184.0
82,0.2721804247749518,419,0.20648652474765958,0.21762875352171998,0.14096471005550204,no freeze,0.0001152594500243054,3,544,2080.0,2016.0
7505,0.2724074241834655,425,0.2130418988091262,0.20830917220600825,0.11711854313720305,no freeze,0.0001805354887698352,3,416,1952.0,1696.0
61,0.2729626899385639,407,0.20359072050348143,0.23690308203582672,0.3207866293358082,no freeze,0.0001636268105818535,3,672,2144.0,1824.0
230,0.2731205512496522,413,0.20333766630396888,0.19883865514543764,0.1544093288463762,no freeze,0.00011612947043392682,3,608,2016.0,1440.0
7710,0.27335560940038267,406,0.10291347005088664,0.11121941699510972,0.14820527804538158,no freeze,0.00021812489865685007,3,480,2080.0,1120.0
97,0.2733880607119048,565,0.1750618749353244,0.11394479359110993,0.14123738634896033,freeze,7.272363003876419e-05,3,1824,2080.0,480.0
21,0.27369546856302907,479,0.2920916486346853,0.482291875640749,0.39650437447243503,freeze,0.00033346623592936777,3,1440,1760.0,352.0
479,0.2741918540523869,81,0.16356542958309656,0.1986868847826999,0.11022222549354498,no freeze,0.00033399998873094133,3,544,2016.0,1696.0
9680,0.2742725074002485,452,0.37492612831268746,0.3153692977381627,0.1230485398434537,no freeze,0.00022024860704039257,3,416,2144.0,1760.0
9881,0.27461668356504343,437,0.20733031910962443,0.14832790163422044,0.19480803877143776,no freeze,0.00022399182340497893,3,352,2016.0,1312.0
80,0.27472415070664685,419,0.188371394450247,0.2142322538455524,0.1299617241911635,no freeze,0.00014335675862666043,3,480,2144.0,1952.0
1552,0.2747965573645059,448,0.12232413950464022,0.18951164866217599,0.4380426816344608,no freeze,0.00010300549530291455,3,736,2016.0,1760.0
659,0.27510589210994046,457,0.16162104040728834,0.10253920284461766,0.16994137754498456,no freeze,0.00020576587847452677,3,416,2144.0,1888.0
3984,0.2752839194761637,457,0.1688596126178613,0.10004881824533812,0.10009305738066286,no freeze,0.00015401241197329305,3,544,2144.0,1312.0
